ID,FirstAuthor,Stage,PercentCited
ASAP-000463-005-0000DA-P,Edmundo G. Vides,FS,0.4
ASAP-000463-005-0000DA-S,Edmundo G. Vides,NS,0.64
ASAP-000509-001-0000NW-G,Minee Choi,FS,0
ASAP-000509-001-0000NW-P,Minee Choi,NS,0.17
ASAP-000463-004-0000DA-G,Alexia Kalogeropulou,FS,0
ASAP-000463-004-0000DA-P,Alexia Kalogeropulou,NS,0
ASAP-000580-008-0000PD-G,Xinbo Wang,FS,0
ASAP-000580-008-0000PD-P,Xinbo Wang,NS,0
ASAP-020529-001-000RE-P,Jonathan Schor,FS,0
ASAP-020529-001-000RE-T,Jonathan Schor,NS,1
ASAP-020527-003-0000RL-G,Arpine Sokratian,FS,0
ASAP-020527-003-0000RL-P,Arpine Sokratian,NS,0
ASAP-020572-004-MSTBTW-P.v2,Liqiang Chen,FS,0
ASAP-020572-004-MSTBTW-P.V3,Liqiang Chen,NS,1
ASAP-000478-008-0000JH-G,Nirosen Vijiaratnam,FS,1
ASAP-000478-008-0000JH-P,Nirosen Vijiaratnam,NS,1
ASAP-000375-006-0000DS-G,Reem Abdel-Haq    ,FS,0
ASAP-000375-006-0000DS-G.v2,Reem Abdel-Haq ,NS,0
ASAP-000478-010-0000JH-P,Marc P.M. Soutar,FS,0.2
ASAP-000478-010-0000JH-S,Marc P.M. Soutar,NS,0.62
ASAP-000350-008-0000HU-P,Oliva Harding,FS,0
ASAP-000350-008-0000HU-Pv2G,Oliva Harding,NS,1
ASAP-020600-001-0000RA-G,Maite Azcorra,FS,0
ASAP-020600-001-0000RA-P,Maite Azcorra,NS,0
ASAP-020572-003-0000TW-G,Adriana Galvan,FS,0
ASAP-020572-003-0000TW-P,Adriana Galvan,NS,0
ASAP-020527-001-0000RL-G,Zachary D Wallen,FS,0.05
ASAP-020527-001-0000RL-P,Zachary D Wallen,NS,0.43
ASAP-000472-001-0000LS-T,Erinc Hallaci,FS,0.25
ASAP-000472-001-0000LS-D,Erinc Hallaci,NS,0.23
ASAP-000478-011-00NWJH-G,Regina Reynolds,FS,0.1
ASAP-000478-011-00NWJH-P,Regina Reynolds,NS,1
ASAP-000478-009-0000JH-G,Raquel Real,FS,0.24
ASAP-000478-009-0000JH-P,Raquel Real,NS,1
ASAP-000GP2-0004-G,Hampton Leonard,FS,0
ASAP-000GP2-0004-P,Hampton Leonard,NS,0.69
ASAP-000420-004-0000AS-G,Pascale Baden,FS,0
ASAP-000420-004-0000AS-P,Pascale Baden,NS,0.92
